program,flags,file_size,total_lines,instructions,functions,basic_blocks,load_instructions,store_instructions,call_instructions,runtime_seconds,peak_memory_mb
program_0,"['mem2reg', 'sroa', 'dce', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'dce', 'gvn', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'dce', 'gvn', 'simplifycfg', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'dce', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'dce', 'gvn', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'dce', 'gvn', 'loop-unroll', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'dce', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'dce', 'loop-unroll', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'dce', 'loop-unroll', 'simplifycfg', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'dce', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'dce', 'loop-unroll', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'dce', 'loop-unroll', 'gvn', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn', 'simplifycfg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn', 'simplifycfg', 'dce', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn', 'simplifycfg', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn', 'simplifycfg', 'loop-unroll', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
