program,flags,file_size,total_lines,instructions,functions,basic_blocks,load_instructions,store_instructions,call_instructions,runtime_seconds,peak_memory_mb
matrix_multiplication,"['-inline', '-mem2reg', '-instcombine']",23112,573,274,8,0,10,12,68,1.710337,1.0
matrix_multiplication,"['-inline', '-mem2reg', '-instcombine', '-loop-unroll']",24145,596,294,8,0,10,12,68,1.659591,1.0
matrix_multiplication,"['-inline', '-mem2reg', '-instcombine', '-loop-unroll', '-gvn']",23224,576,274,8,0,10,12,68,1.607819,1.0
matrix_multiplication,[],23189,573,274,8,0,10,12,68,1.599095,1.0
matrix_multiplication,['-O3'],23221,569,274,8,0,10,9,68,1.610075,1.0
matrix_multiplication,['-inline'],23112,573,274,8,0,10,12,68,1.662168,1.0
matrix_multiplication,"['-inline', '-mem2reg']",23112,573,274,8,0,10,12,68,1.629051,1.0
matrix_multiplication,"['-inline', '-mem2reg', '-instcombine']",23112,573,274,8,0,10,12,68,1.69773,1.0
matrix_multiplication,"['-inline', '-mem2reg', '-instcombine', '-gvn']",23112,573,274,8,0,10,12,68,1.650191,1.0
matrix_multiplication,"['-inline', '-mem2reg', '-instcombine', '-gvn', '-loop-unroll']",24145,596,294,8,0,10,12,68,1.701532,1.0
matrix_multiplication,[],23189,573,274,8,0,10,12,68,1.707843,1.0
matrix_multiplication,['-O3'],23221,569,274,8,0,10,9,68,1.679889,1.0
matrix_multiplication,['-inline'],23112,573,274,8,0,10,12,68,1.668799,1.0
matrix_multiplication,"['-inline', '-mem2reg']",23112,573,274,8,0,10,12,68,1.693209,1.0
matrix_multiplication,"['-inline', '-mem2reg', '-gvn']",23112,573,274,8,0,10,12,68,1.649432,1.0
matrix_multiplication,"['-inline', '-mem2reg', '-gvn', '-loop-unroll']",24145,596,294,8,0,10,12,68,1.742542,1.0
matrix_multiplication,"['-inline', '-mem2reg', '-gvn', '-loop-unroll', '-instcombine']",23224,576,274,8,0,10,12,68,1.644823,1.0
matrix_multiplication,[],23189,573,274,8,0,10,12,68,1.628258,1.0
matrix_multiplication,['-O3'],23221,569,274,8,0,10,9,68,1.623125,1.0
matrix_multiplication,['-inline'],23112,573,274,8,0,10,12,68,1.611358,1.0
matrix_multiplication,"['-inline', '-mem2reg']",23112,573,274,8,0,10,12,68,1.615055,1.0
matrix_multiplication,"['-inline', '-mem2reg', '-gvn']",23112,573,274,8,0,10,12,68,1.619085,1.0
matrix_multiplication,"['-inline', '-mem2reg', '-gvn', '-instcombine']",23112,573,274,8,0,10,12,68,1.612378,1.0
matrix_multiplication,"['-inline', '-mem2reg', '-gvn', '-instcombine', '-loop-unroll']",24145,596,294,8,0,10,12,68,1.680411,1.0
matrix_multiplication,[],23189,573,274,8,0,10,12,68,1.614468,1.0
matrix_multiplication,['-O3'],23221,569,274,8,0,10,9,68,1.613585,1.0
matrix_multiplication,['-inline'],23112,573,274,8,0,10,12,68,1.620444,1.0
matrix_multiplication,"['-inline', '-instcombine']",23112,573,274,8,0,10,12,68,1.618769,1.0
matrix_multiplication,"['-inline', '-instcombine', '-loop-unroll']",24145,596,294,8,0,10,12,68,1.664119,1.0
matrix_multiplication,"['-inline', '-instcombine', '-loop-unroll', '-mem2reg']",24145,596,294,8,0,10,12,68,1.676629,1.0
matrix_multiplication,"['-inline', '-instcombine', '-loop-unroll', '-mem2reg', '-gvn']",23224,576,274,8,0,10,12,68,1.608089,1.0
matrix_multiplication,[],23189,573,274,8,0,10,12,68,1.610351,1.0
matrix_multiplication,['-O3'],23221,569,274,8,0,10,9,68,1.624406,1.0
matrix_multiplication,['-inline'],23112,573,274,8,0,10,12,68,1.617368,1.0
