program,flags,file_size,total_lines,instructions,functions,basic_blocks,load_instructions,store_instructions,call_instructions,runtime_seconds,peak_memory_mb
program_0,"['gvn', 'sroa', 'simplifycfg', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['gvn', 'sroa', 'simplifycfg', 'loop-unroll', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['gvn', 'sroa', 'simplifycfg', 'loop-unroll', 'mem2reg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['dce'],9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa', 'mem2reg', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa', 'mem2reg', 'simplifycfg', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa', 'mem2reg', 'simplifycfg', 'gvn', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['sroa'],9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'gvn', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'gvn', 'mem2reg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'gvn', 'mem2reg', 'dce', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['sroa'],9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'dce', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'dce', 'loop-unroll', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'dce', 'loop-unroll', 'gvn', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'dce', 'loop-unroll', 'gvn', 'mem2reg', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['simplifycfg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['simplifycfg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['simplifycfg', 'sroa', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['simplifycfg', 'sroa', 'dce', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['simplifycfg', 'sroa', 'dce', 'loop-unroll', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['simplifycfg', 'sroa', 'dce', 'loop-unroll', 'gvn', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['dce'],9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'simplifycfg', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'simplifycfg', 'loop-unroll', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'simplifycfg', 'loop-unroll', 'gvn', 'sroa']",9650,115,52,1,1,12,3,27,0,0
